12:07:56.330 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
12:07:56.344 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
12:07:56.346 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
12:07:56.347 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
12:07:56.417 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:07:56.418 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1693 ms
12:07:56.721 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.15+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='yk3846568', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@76bd9e20, com.mongodb.Jep395RecordCodecProvider@6ae3565d, com.mongodb.KotlinCodecProvider@6f96f7b3]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.gqqqwzj.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-m5ab0s-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
12:07:56.863 [cluster-ClusterId{value='68ccfa44d28dfb2866c97162', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017 to client view of cluster
12:07:56.893 [cluster-ClusterId{value='68ccfa44d28dfb2866c97162', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017 to client view of cluster
12:07:56.895 [cluster-ClusterId{value='68ccfa44d28dfb2866c97162', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017 to client view of cluster
12:07:56.994 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29987 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
