14:57:08.091 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:57:08.095 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:57:08.095 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:57:08.096 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
14:57:08.142 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:57:08.142 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 479 ms
14:57:08.222 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.15+6-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='yk3846568', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@436c48d1, com.mongodb.Jep395RecordCodecProvider@13e12c0, com.mongodb.KotlinCodecProvider@64fbde5]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.gqqqwzj.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-m5ab0s-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
14:57:08.237 [cluster-ClusterId{value='68c92d6c52ad3c7f7624d3c9', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017 to client view of cluster
14:57:08.239 [cluster-ClusterId{value='68c92d6c52ad3c7f7624d3c9', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017 to client view of cluster
14:57:08.241 [cluster-ClusterId{value='68c92d6c52ad3c7f7624d3c9', description='null'}-srv-cluster0.gqqqwzj.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017 to client view of cluster
14:57:08.243 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:57:08.254 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 126. Remaining time: 29999 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
14:57:08.409 [cluster-ClusterId{value='68c92d6c52ad3c7f7624d3c9', description='null'}-ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=123822900, minRoundTripTimeNanos=0, setName='atlas-m5ab0s-shard-0', canonicalAddress=ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, hosts=[ac-gemoksu-shard-00-00.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-01.gqqqwzj.mongodb.net:27017, ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gemoksu-shard-00-02.gqqqwzj.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=64, topologyVersion=TopologyVersion{processId=68c8fc879417ff45d2a31a5a, counter=5}, lastWriteDate=Tue Sep 16 14:57:19 IST 2025, lastUpdateTimeNanos=19050265275700}
